,,,,,,,,,,
Type(number),Type (file name),Date,Authors (full name),Authors (initials),Title,Reference (text),Link (text),Link (http),2nd Link (text),2nd Link (http)
4,galaxy and structure formation,2018-03-12,"Jiang-Tao Li, Joel N. Bregman, Q. Daniel Wang, Robert A. Crain, Michael E. Anderson","J.-T. Li, J.N. Bregman, Q. Daniel Wang, R.A. Crain, M.E. Anderson",Baryon Budget of the Hot Circumgalactic Medium of Massive Spiral Galaxies,"The Astrophysical Journal Letters 855, Number 2, March 2018",doi: 10.3847/2041-8213/aab2af,https://doi.org/10.3847/2041-8213/aab2af,,
4,galaxy and structure formation,2018-02-28,"H.-Y. Karen Yang, Mateusz Ruszkowski, Ellen G. Zweibel","H.-Y.K. Yang, M. Ruszkowski, E.G. Zweibel",Unveiling the Origin of the Fermi Bubbles,"Galaxies 6(1), 29, 2018",doi: 10.3390/galaxies6010029,https://doi.org/10.3390/galaxies6010029,arXiv:1802.03890,https://arxiv.org/abs/1802.03890
4,galaxy and structure formation,2017-05-12,"M. Ackermann, M. Ajello, A. Albert, W. B. Atwood, L. Baldini, J. Ballet, G. Barbiellini, D. Bastieri, R. Bellazzini, E. Bissaldi, R. D. Blandford, E. D. Bloom, R. Bonino, E. Bottacini, T. J. Brandt, J. Bregeon, P. Bruel, R. Buehler, T. H. Burnett, R. A. Cameron, R. Caputo, M. Caragiulo, P. A. Caraveo, E. Cavazzuti, C. Cecchi, E. Charles, A. Chekhtman, J. Chiang, A. Chiappo, G. Chiaro, S. Ciprini, J. Conrad, F. Costanza, A. Cuoco, S. Cutini, F. D'Ammando, F. de Palma, R. Desiante, S. W. Digel, N. Di Lalla, M. Di Mauro, L. Di Venere, P. S. Drell, C. Favuzzi, S. J. Fegan, E. C. Ferrara, W. B. Focke, A. Franckowiak, Y. Fukazawa, S. Funk, P. Fusco, F. Gargano, D. Gasparrini, N. Giglietto, F. Giordano, M. Giroletti, T. Glanzman, G. A. Gomez-Vargas, D. Green, I. A. Grenier, J. E. Grove, L. Guillemot, S. Guiriec, M. Gustafsson, A. K. Harding, E. Hays, J. W. Hewitt, D. Horan, T. Jogler, A. S. Johnson, T. Kamae, D. Kocevski, M. Kuss, G. La Mura, S. Larsson, L. Latronico, J. Li, F. Longo, F. Loparco, M. N. Lovellette, P. Lubrano, J. D. Magill, S. Maldera, D. Malyshev, A. Manfreda, P. Martin, M. N. Mazziotta, P. F. Michelson, N. Mirabal, W. Mitthumsiri, T. Mizuno, A. A. Moiseev, M. E. Monzani, A. Morselli, M. Negro, E. Nuss, T. Ohsugi, M. Orienti, E. Orlando, J. F. Ormes, D. Paneque, J. S. Perkins, M. Persic, M. Pesce-Rollins, F. Piron, G. Principe, S. Rainò, R. Rando, M. Razzano, S. Razzaque, A. Reimer, O. Reimer, M. Sánchez-Conde, C. Sgrò, D. Simone, E. J. Siskind, F. Spada, G. Spandre, P. Spinelli, D. J. Suson, H. Tajima, K. Tanaka, J. B. Thayer, L. Tibaldo, D. F. Torres, E. Troja, Y. Uchiyama, G. Vianello, K. S. Wood, M. Wood, G. Zaharijas, S. Zimmer, (The Fermi LAT Collaboration)","M. Ackermann, M. Ajello, A. Albert, W.B. Atwood, L. Baldini, J. Ballet, G. Barbiellini, D. Bastieri, R. Bellazzini, E. Bissaldi, R.D. Blandford, E.D. Bloom, R. Bonino, E. Bottacini, T.J. Brandt, J. Bregeon, P. Bruel, R. Buehler, T.H. Burnett, R.A. Cameron, R. Caputo, M. Caragiulo, P.A. Caraveo, E. Cavazzuti, C. Cecchi, E. Charles, A. Chekhtman, J. Chiang, A. Chiappo, G. Chiaro, S. Ciprini, J. Conrad, F. Costanza, A. Cuoco, S. Cutini, F. D'Ammando, F. de Palma, R. Desiante, S.W. Digel, N. Di Lalla, M. Di Mauro, L. Di Venere, P.S. Drell, C. Favuzzi, S.J. Fegan, E.C. Ferrara, W.B. Focke, A. Franckowiak, Y. Fukazawa, S. Funk, P. Fusco, F. Gargano, D. Gasparrini, N. Giglietto, F. Giordano, M. Giroletti, T. Glanzman, G.A. Gomez-Vargas, D. Green, I.A. Grenier, J.E. Grove, L. Guillemot, S. Guiriec, M. Gustafsson, A.K. Harding, E. Hays, J.W. Hewitt, D. Horan, T. Jogler, A.S. Johnson, T. Kamae, D. Kocevski, M. Kuss, G. La Mura, S. Larsson, L. Latronico, J. Li, F. Longo, F. Loparco, M.N. Lovellette, P. Lubrano, J.D. Magill, S. Maldera, D. Malyshev, A. Manfreda, P. Martin, M.N. Mazziotta, P.F. Michelson, N. Mirabal, W. Mitthumsiri, T. Mizuno, A.A. Moiseev, M.E. Monzani, A. Morselli, M. Negro, E. Nuss, T. Ohsugi, M. Orienti, E. Orlando, J.F. Ormes, D. Paneque, J.S. Perkins, M. Persic, M. Pesce-Rollins, F. Piron, G. Principe, S. Rainò, R. Rando, M. Razzano, S. Razzaque, A. Reimer, O. Reimer, M. Sánchez-Conde, C. Sgrò, D. Simone, E.J. Siskind, F. Spada, G. Spandre, P. Spinelli, D.J. Suson, H. Tajima, K. Tanaka, J.B. Thayer, L. Tibaldo, D.F. Torres, E. Troja, Y. Uchiyama, G. Vianello, K.S. Wood, M. Wood, G. Zaharijas, S. Zimmer, (The Fermi LAT Collaboration)",The Fermi Galactic Center GeV Excess and Implications for Dark Matter,"The Astrophysical Journal 840, Number 1, 2017",doi: 10.3847/1538-4357/aa6cab,https://doi.org/10.3847/1538-4357/aa6cab,arXiv:1704.03910,https://arxiv.org/abs/1704.03910
4,galaxy and structure formation,2019-04-17,"Rebecca K. Leane, Tracy R. Slatyer","R.K. Leane, T.R. Slatyer",Dark Matter Strikes Back at the Galactic Center,"Report number: MIT-CTP/5104, arXiv:1904.08430 [astro-ph.HE], 2019",arXiv:1904.08430,https://arxiv.org/abs/1904.08430,,
1,redshift,2019-07-12,"Wendy L. Freedman, Barry F. Madore, Dylan Hatt, Taylor J. Hoyt, In-Sung Jang, Rachael L. Beaton, Christopher R. Burns, Myung Gyoon Lee, Andrew J. Monson, Jillian R. Neeley, Mark M. Phillips, Jeffrey A. Rich, Mark Seibert","W.L. Freedman, B.F. Madore, D. Hatt, T.J. Hoyt, I.-S. Jang, R.L. Beaton, C.R. Burns, M.G. Lee, A.J. Monson, J.R. Neeley, M.M. Phillips, J.A. Rich, M. Seibert",The Carnegie-Chicago Hubble Program. VIII. An Independent Determination of the Hubble Constant Based on the Tip of the Red Giant Branch,"The Astrophysical Journal (accepted), 2019",arXiv:1907.05922,https://arxiv.org/abs/1907.05922,,
1,redshift,2019-04-03,"Hirotaka Ito, Jin Matsumoto, Shigehiro Nagataki, Donald C. Warren, Maxim V. Barkov, Daisuke Yonetoku","H. Ito, J. Matsumoto, S. Nagataki, D.C. Warren, M.V. Barkov, D. Yonetoku",The photospheric origin of the Yonetoku relation in gamma-ray bursts,"Nature Communications 1504, Vol. 10, Issue 1, 2019",doi: 10.1038/s41467-019-09281-z,https://doi.org/10.1038/s41467-019-09281-z,,
1,redshift,2014-05-02,"Eric J. Lerner, Renato Falomo, Riccardo Scarpa","E.J. Lerner, R. Falomo, R. Scarpa",UV surface brightness of galaxies from the local Universe to z ~ 5,"Int. J. Mod. Phys. D 23, 1450058, 2014",doi: 10.1142/S0218271814500588,http://www.worldscientific.com/doi/abs/10.1142/S0218271814500588,arXiv:1405.0275,http://arxiv.org/abs/1405.0275
3,nucleosynthesis,2019-04-02,"David S. Aguado, Jonay I. González Hernández, Carlos Allende Prieto, Rafael Rebolo","D.S. Aguado, J.I. G. Hernández, C.A. Prieto, R. Rebolo",Back to the Lithium Plateau with J0023+0307 with [Fe/H]<-6,"The Astrophysical Journal Letters, Volume 874, Number 2, 2019",doi: 10.3847/2041-8213/ab1076,https://doi.org/10.3847/2041-8213/ab1076,arXiv:1904.04892,https://arxiv.org/abs/1904.04892
3,nucleosynthesis,2018-06-29,"C.A. Bertulani, Shubh chintak, A.M. Mukhamedzhanov","C.A. Bertulani, Shubh chintak, A.M. Mukhamedzhanov",Cosmological Lithium Problems,"EPJ Web of Conferences 184, 01002, 2018",doi: 10.1051/epjconf/201818401002,https://doi.org/10.1051/epjconf/201818401002,arXiv:1802.03469,https://arxiv.org/abs/1802.03469
4,galaxy and structure formation,2019-07-11,"Stefano Bianchi, Robert Antonucci, Alessandro Capetti, Marco Chiaberge, Ari Laor, Loredana Bassani, Francisco J Carrera, Fabio La Franca, Andrea Marinucci, Giorgio Matt, Riccardo Middei, Francesca Panessa","S. Bianchi, R. Antonucci, A. Capetti, M. Chiaberge, A. Laor, L. Bassani, F.J. Carrera, F. La Franca, A. Marinucci, G. Matt, R. Middei, F. Panessa",HST unveils a compact mildly relativistic broad-line region in the candidate true type 2 NGC 3147,"Monthly Notices of the Royal Astronomical Society: Letters 488, Issue 1, p. L1, Sept. 2019",doi: 10.1093/mnrasl/slz080,https://doi.org/10.1093/mnrasl/slz080,,
4,galaxy and structure formation,2019-07-15,"Jagjit Singh Sidhu, Robert J. Scherrer, Glenn Starkman","J.S. Sidhu, R.J. Scherrer, G. Starkman",Death by Dark Matter,arXiv:1907.06674 Cosmology and Nongalactic Astrophysics (astro-ph.CO) 2019,arXiv:1907.06674,https://arxiv.org/abs/1907.06674,,
5,old-systems,2018-07-24,Fulvio Melia,F. Melia,J1342+0928 Supports the Timeline in the R_h=ct Cosmology,"Astronomy and Astrophysics 615, A113, July 2018",doi: 10.1051/0004-6361/201832752,https://doi.org/10.1051/0004-6361/201832752,arXiv:1712.03306,https://arxiv.org/abs/1712.03306
5,old-systems,2004-02-12,"Povilas Palunas, Harry I. Teplitz, Paul J. Francis, Gerard M. Williger, Bruce E. Woodgate","P. Palunas, H.I. Teplitz, P.J. Francis, G.M. Williger, B.E. Woodgate",The Distribution of Lya-Emitting Galaxies at z=2.38,"Astrophysical Journal 602, 545, 2004",doi: 10.1086/381145,https://doi.org/10.1086%2F381145,arXiv:astro-ph/0311279,https://arxiv.org/abs/astro-ph/0311279
6,cosmology,2019-05-03,Domingos Soares,D. Soares,The 1919 Eddington eclipse,Research Gate May 2019,doi: 10.13140/RG.2.2.33288.88321,https://www.researchgate.net/publication/332849428_The_1919_Eddington_eclipse,,
6,cosmology,2019-02-07,"Marco Raveri, Wayne Hu","M. Raveri, W. Hu",Concordance and discordance in cosmology,"Phys. Rev. D 99, 043506, 2019",doi: 10.1103/PhysRevD.99.043506,https://link.aps.org/doi/10.1103/PhysRevD.99.043506,arXiv:1806.04649,https://arxiv.org/abs/1806.04649
2,microwave-background,2019-09-30,"Planck Collaboration: Y. Akrami, M. Ashdown, J. Aumont, C. Baccigalupi, M. Ballardini, A.J. Banday, R.B. Barreiro, N. Bartolo, S. Basak, K. Benabed, M. Bersanelli, P. Bielewicz, J.J. Bock, J.R. Bond, J. Borrill, F.R. Bouchet, F. Boulanger, M. Bucher, C. Burigana, R. C. Butler, E. Calabrese, J.-F. Cardoso, B. Casaponsa, H.C. Chiang, L.P.L. Colombo, C. Combet, D. Contreras, B.P. Crill, P. de Bernardis, G. de Zotti, J. Delabrouille, J.-M. Delouis, E. Di Valentino, J.M. Diego, O. Doré, M. Douspis, A. Ducout, X. Dupac, G. Efstathiou, F. Elsner, T.A. Enßlin, H.K. Eriksen, Y. Fantaye, R. Fernandez-Cobos, F. Finelli, M. Frailis, A.A. Fraisse, E. Franceschi, A. Frolov, S. Galeotta, S. Galli, K. Ganga, R.T. Génova-Santos, M. Gerbino, T. Ghosh, J. González-Nuevo, K.M. Górski, A. Gruppuso, J.E. Gudmundsson, J. Hamann, W. Handley, F.K. Hansen, D. Herranz, E. Hivon, Z. Huang, A.H. Jaffe, W.C. Jones, E. Keihänen, R. Keskitalo, K. Kiiveri, J. Kim, N. Krachmalnicoff, M. Kunz, H. Kurki-Suonio, G. Lagache, J.-M. Lamarre, A. Lasenby, M. Lattanzi, C.R. Lawrence, M. Le Jeune, F. Levrier, M. Liguori, P.B. Lilje, V. Lindholm, M. López-Caniego, Y.-Z. Ma, J.F. Macías-Pérez, G. Maggio, D. Maino, N. Mandolesi, A. Mangilli, A. Marcos-Caballero, M. Maris, P.G. Martin, E. Martínez-González, S. Matarrese, N. Mauri, J.D. McEwen, P.R. Meinhold, A. Mennella, M. Migliaccio, M.-A. Miville-Deschênes, D. Molinari, A. Moneti, L. Montier, A. Moss, P. Natoli, L. Pagano, D. Paoletti, B. Partridge, F. Perrotta, V. Pettorino, F. Piacentini, G. Polenta, J.-L. Puget, J.P. Rachen, M. Reinecke, M. Remazeilles, A. Renzi, G. Rocha, C. Rosset, G. Roudier, J.A. Rubiño-Martín, B. Ruiz-Granados, L. Salvati, M. Savelainen, D. Scott, E.P.S. Shellard, C. Sirignano, R. Sunyaev, A.-S. Suur-Uski, J.A. Tauber, D. Tavagnacco, M. Tenti, L. Toffolatti, M. Tomasi, T. Trombetti, L. Valenziano, J. Valiviita, B. Van Tent, P. Vielva, F. Villa, N. Vittorio, B.D. Wandelt, I.K. Wehus, A. Zacchei, J.P. Zibin, A. Zonca","Planck Collaboration: Y. Akrami, M. Ashdown, J. Aumont, C. Baccigalupi, M. Ballardini, A.J. Banday, R.B. Barreiro, N. Bartolo, S. Basak, K. Benabed, M. Bersanelli, P. Bielewicz, J.J. Bock, J.R. Bond, J. Borrill, F.R. Bouchet, F. Boulanger, M. Bucher, C. Burigana, R. C. Butler, E. Calabrese, J.-F. Cardoso, B. Casaponsa, H.C. Chiang, L.P.L. Colombo, C. Combet, D. Contreras, B.P. Crill, P. de Bernardis, G. de Zotti, J. Delabrouille, J.-M. Delouis, E. Di Valentino, J.M. Diego, O. Doré, M. Douspis, A. Ducout, X. Dupac, G. Efstathiou, F. Elsner, T.A. Enßlin, H.K. Eriksen, Y. Fantaye, R. Fernandez-Cobos, F. Finelli, M. Frailis, A.A. Fraisse, E. Franceschi, A. Frolov, S. Galeotta, S. Galli, K. Ganga, R.T. Génova-Santos, M. Gerbino, T. Ghosh, J. González-Nuevo, K.M. Górski, A. Gruppuso, J.E. Gudmundsson, J. Hamann, W. Handley, F.K. Hansen, D. Herranz, E. Hivon, Z. Huang, A.H. Jaffe, W.C. Jones, E. Keihänen, R. Keskitalo, K. Kiiveri, J. Kim, N. Krachmalnicoff, M. Kunz, H. Kurki-Suonio, G. Lagache, J.-M. Lamarre, A. Lasenby, M. Lattanzi, C.R. Lawrence, M. Le Jeune, F. Levrier, M. Liguori, P.B. Lilje, V. Lindholm, M. López-Caniego, Y.-Z. Ma, J.F. Macías-Pérez, G. Maggio, D. Maino, N. Mandolesi, A. Mangilli, A. Marcos-Caballero, M. Maris, P.G. Martin, E. Martínez-González, S. Matarrese, N. Mauri, J.D. McEwen, P.R. Meinhold, A. Mennella, M. Migliaccio, M.-A. Miville-Deschênes, D. Molinari, A. Moneti, L. Montier, A. Moss, P. Natoli, L. Pagano, D. Paoletti, B. Partridge, F. Perrotta, V. Pettorino, F. Piacentini, G. Polenta, J.-L. Puget, J.P. Rachen, M. Reinecke, M. Remazeilles, A. Renzi, G. Rocha, C. Rosset, G. Roudier, J.A. Rubiño-Martín, B. Ruiz-Granados, L. Salvati, M. Savelainen, D. Scott, E.P.S. Shellard, C. Sirignano, R. Sunyaev, A.-S. Suur-Uski, J.A. Tauber, D. Tavagnacco, M. Tenti, L. Toffolatti, M. Tomasi, T. Trombetti, L. Valenziano, J. Valiviita, B. Van Tent, P. Vielva, F. Villa, N. Vittorio, B.D. Wandelt, I.K. Wehus, A. Zacchei, J.P. Zibin, A. Zonca",Planck 2018 results. VII. Isotropy and statistics of the CMB,"A&A, Forthcoming article, Accepted: 03 May 2019",doi: 10.1051/0004-6361/201935201,https://doi.org/10.1051/0004-6361/201935201,,
4,galaxy and structure formation,2019-08-06,"D.O. Sabulsky, I. Dutta, E.A. Hinds, B. Elder, C. Burrage, Edmund J. Copeland","D.O. Sabulsky, I. Dutta, E.A. Hinds, B. Elder, C. Burrage, E.J. Copeland",Experiment to Detect Dark Energy Forces Using Atom Interferometry,"Phys. Rev. Lett. 123, 061102",doi: 10.1103/PhysRevLett.123.061102,https://link.aps.org/doi/10.1103/PhysRevLett.123.061102,,
4,galaxy and structure formation,2019-04-30,"Karen L. Masters, Chris J. Lintott, Ross E. Hart, Sandor J. Kruk, Rebecca J. Smethurst, Kevin V. Casteels, William C. Keel, Brooke D. Simmons, Dennis O. Stanescu, Jean Tate","K.L. Masters, C.J. Lintott, R.E. Hart, S.J. Kruk, R.J. Smethurst, K.V. Casteels, W.C. Keel, B.D. Simmons, D.O. Stanescu, J. Tate",Galaxy Zoo: unwinding the winding problem – observations of spiral bulge prominence and arm pitch angles suggest local spiral galaxies are winding,"Monthly Notices of the Royal Astronomical Society 487, Issue 2, pp. 1808–1820, August 2019",doi: 10.1093/mnras/stz1153,https://doi.org/10.1093/mnras/stz1153,,
4,galaxy and structure formation,2019-06-07,"F. Govoni, E. Orrù, A. Bonafede, M. Iacobelli, R. Paladino, F. Vazza, M. Murgia, V. Vacca, G. Giovannini, L. Feretti, F. Loi, G. Bernardi, C. Ferrari, R.F. Pizzo, C. Gheller, S. Manti, M. Brüggen, G. Brunetti, R. Cassano, F. de Gasperin, T.A. Enßlin, M. Hoeft, C. Horellou, H. Junklewitz, H.J.A. Röttgering, A.M.M. Scaife, T.W. Shimwel, R.J. van Weeren, M. Wise","F. Govoni, E. Orrù, A. Bonafede, M. Iacobelli, R. Paladino, F. Vazza, M. Murgia, V. Vacca, G. Giovannini, L. Feretti, F. Loi, G. Bernardi, C. Ferrari, R.F. Pizzo, C. Gheller, S. Manti, M. Brüggen, G. Brunetti, R. Cassano, F. de Gasperin, T.A. Enßlin, M. Hoeft, C. Horellou, H. Junklewitz, H.J.A. Röttgering, A.M.M. Scaife, T.W. Shimwel, R.J. van Weeren, M. Wise",A radio ridge connecting two galaxy clusters in a filament of the cosmic web,"Science 364, Issue 6444, pp. 981-984, 7 Jun 2019",doi: 10.1126/science.aat7500,https://science.sciencemag.org/content/364/6444/981,arXiv:1906.07584,https://arxiv.org/abs/1906.07584
4,galaxy and structure formation,2019-04-14,"Ignacio Trujillo, Michael A. Beasley, Alejandro Borlaff, Eleazar R. Carrasco, Arianna Di Cintio, Mercedes Filho, Matteo Monelli, Mireia Montes, Javier Roman, Tomas Ruiz-Lara, Jorge Sanchez Almeida, David Valls-Gabaud, Alexandre Vazdekis","I. Trujillo, M.A. Beasley, A. Borlaff, E.R. Carrasco, A. Di Cintio, M. Filho, M. Monelli, M. Montes, J. Roman, T. Ruiz-Lara, J. Sanchez Almeida, D. Valls-Gabaud, A. Vazdekis",A distance of 13 Mpc resolves the claimed anomalies of the galaxy lacking dark matter,"Monthly Notices of the Royal Astronomical Society 486, Issue 1, pp. 1192–1219, June 2019",doi: 10.1093/mnras/stz771,https://doi.org/10.1093/mnras/stz771,arXiv:1806.10141,https://arxiv.org/abs/1806.10141
4,galaxy and structure formation,2017-01-22,"Indranil Banik, Hongsheng Zhao","I. Banik, H. Zhao",Dynamical history of the Local Group in ΛCDM – II. Including external perturbers in 3D,"Monthly Notices of the Royal Astronomical Society 467, Issue 2, pp. 2180–2198, May 2017",doi: 10.1093/mnras/stx151,https://doi.org/10.1093/mnras/stx151,,
4,galaxy and structure formation,2003-11-14,Renzo Sancisi,R. Sancisi,The visible matter - dark matter coupling,"To appear in the proceedings of IAU Symposium 220, ""Dark Matter in Galaxies"", eds. S. Ryder, D.J. Pisano, M. Walker and K. Freeman, Publ. Astron. Soc. Pacific",arXiv:astro-ph/0311348,https://arxiv.org/abs/astro-ph/0311348,,
4,galaxy and structure formation,2019-08-07,"T. Wang, C. Schreiber, C. Elbaz, Y. Yoshimura, K. Kohno, X. Shu, Y. Yamaguchi, M. Pannella, M. Franco, J. Huang, C.-F. Lim, W.-H. Wang","T. Wang, C. Schreiber, C. Elbaz, Y. Yoshimura, K. Kohno, X. Shu, Y. Yamaguchi, M. Pannella, M. Franco, J. Huang, C.-F. Lim, W.-H. Wang",A dominant population of optically invisible massive galaxies in the early Universe,"Nature 572, pp. 211–214, 2019",doi: 10.1038/s41586-019-1452-4,https://doi.org/10.1038/s41586-019-1452-4,arXiv:1908.02372,https://arxiv.org/abs/1908.02372
5,old-systems,2010-02-26,"R. Decarli, R. Falomo, A. Treves, M. Barattini","R. Decarli, R. Falomo, A. Treves, M. Barattini",A quasar companion to the puzzling quasar SDSS J0927+2943,"A&A 511, A27 February 2010",doi: 10.1051/0004-6361/200913760,https://doi.org/10.1051/0004-6361/200913760,arXiv:1001.1086,https://arxiv.org/abs/1001.1086
6,cosmology,2019-08-01,"Stéphane Ilić, Ziad Sakr, Alain Blanchard","S. Ilić, Z. Sakr, A. Blanchard","Cluster counts : Tensions, massive neutrinos, and modified gravity. III",Submitted to A&A,arXiv:1908.00163,https://arxiv.org/abs/1908.00163,,
6,cosmology,2014-01-14,Martin López-Corredoira,M. López-Corredoira,Alcock-Paczyński cosmological test,"The Astrophysical Journal, Volume 781, Number 2, 2014",doi: 10.1088/0004-637X/781/2/96,http://iopscience.iop.org/0004-637X/781/2/96,arXiv:1312.0003,http://arxiv.org/abs/1312.0003
1,redshift,2019-09-13,"Inh Jee, Sherry H. Suyu, Eiichiro Komatsu, Christopher D. Fassnacht, Stefan Hilbert, Léon V. E. Koopmans","I. Jee, S.H. Suyu, E. Komatsu, C.D. Fassnacht, S. Hilbert, L.V.E. Koopmans",A measurement of the Hubble constant from angular diameter distances to two gravitational lenses,"Science Vol. 365, Issue 6458, pp. 1134-1138, 13 Sep 2019",doi: 10.1126/science.aat7371,https://science.sciencemag.org/content/365/6458/1134,arXiv:1909.06712,https://arxiv.org/abs/1909.06712
3,nucleosynthesis,2019-10-23,"Darach Watson, Camilla J. Hansen, Jonatan Selsing, Andreas Koch, Daniele B. Malesani, Anja C. Andersen, Johan P. U. Fynbo, Almudena Arcones, Andreas Bauswein, Stefano Covino, Aniello Grado, Kasper E. Heintz, Leslie Hunt, Chryssa Kouveliotou, Giorgos Leloudas, Andrew J. Levan, Paolo Mazzali, Elena Pian","D. Watson, C.J. Hansen, J. Selsing, A. Koch, D.B. Malesani, A.C. Andersen, J.P.U. Fynbo, A. Arcones, A. Bauswein, S. Covino, A. Grado, K.E. Heintz, L. Hunt, C. Kouveliotou, G. Leloudas, A.J. Levan, P. Mazzali, E. Pian",Identification of strontium in the merger of two neutron stars,"Nature volume 574, p. 497, 2019",doi: 10.1038/s41586-019-1676-3,https://doi.org/10.1038/s41586-019-1676-3,arXiv:1910.10510,https://arxiv.org/abs/1910.10510
4,galaxy and structure formation,2019-10-25,"Antoine Garcon, John W. Blanchard, Gary P. Centers, Nataniel L. Figueroa, Peter W. Graham, Derek F. Jackson Kimball, Surjeet Rajendran, Alexander O. Sushkov, Yevgeny V. Stadnik, Arne Wickenbrock, Teng Wu, Dmitry Budker","A. Garcon, J.W. Blanchard, G.P. Centers, N.L. Figueroa, P.W. Graham, D.F. Jackson Kimball, S. Rajendran, A.O. Sushkov, Y.V. Stadnik, A. Wickenbrock, T. Wu, D. Budker",Constraints on bosonic dark matter from ultralow-field nuclear magnetic resonance,"Science Advances, Vol. 5, no. 10, eaax4539, 2019",DOI: 10.1126/sciadv.aax4539,https://advances.sciencemag.org/content/5/10/eaax4539,,
4,galaxy and structure formation,2019-10-11,"J. Xavier Prochaska, Jean-Pierre Macquart, Matthew McQuinn, Sunil Simha, Ryan M. Shannon, Cherie K. Day, Lachlan Marnoch, Stuart Ryder, Adam Deller, Keith W. Bannister, Shivani Bhandari, Rongmon Bordoloi, John Bunton, Hyerin Cho, Chris Flynn, Elizabeth K. Mahony, Chris Phillips, Hao Qiu, Nicolas Tejos","J.X. Prochaska, J.-P. Macquart, M. McQuinn, S. Simha, R.M. Shannon, C.K. Day, L. Marnoch, S. Ryder, A. Deller, K.W. Bannister, S. Bhandari, R. Bordoloi, J. Bunton, H. Cho, C. Flynn, E.K. Mahony, C. Phillips, H. Qiu, N. Tejos",The low density and magnetization of a massive galaxy halo exposed by a fast radio burst,"Science, Vol. 366, Issue 6462, p. 231, 2019",doi: 10.1126/science.aay0073,https://science.sciencemag.org/content/366/6462/231,arXiv:1909.11681,https://arxiv.org/abs/1909.11681
4,galaxy and structure formation,2012-07-17,"Joseph Silk, Gary A. Mamon","J. Silk, G.A. Mamon",The current status of galaxy formation,"Research in Astron. Astrophys. 12, No. 8, 917–946, 2012",doi: 10.1088/1674-4527/12/8/004,https://doi.org/10.1088/1674-4527/12/8/004,,
5,old-systems,2019-07-18,"Takeshi Kobayashi, Martin S. Sloth","T. Kobayashi, M.S. Sloth",Early cosmological evolution of primordial electromagnetic fields,"Phys. Rev. D 100, 023524, 2019",doi: 10.1103/PhysRevD.100.023524,https://link.aps.org/doi/10.1103/PhysRevD.100.023524,arXiv:1903.02561,https://arxiv.org/abs/1903.02561
1,redshift,2019-09-12,"Geoff C.-F. Chen, Christopher D. Fassnacht, Sherry H. Suyu, Cristian E. Rusu, James H. H. Chan, Kenneth C. Wong, Matthew W. Auger, Stefan Hilbert, Vivien Bonvin, Simon Birrer, Martin Millon, Léon V. E. Koopmans, David J. Lagattuta, John P. McKean, Simona Vegetti, Frederic Courbin, Xuheng Ding, Aleksi Halkola, Inh Jee, Anowar J. Shajib, Dominique Sluse, Alessandro Sonnenfeld, Tommaso Treu","G.C.-F. Chen, C.D. Fassnacht, S.H. Suyu, C.E. Rusu, J.H.H. Chan, K.C. Wong, M.W. Auger, S. Hilbert, V. Bonvin, S. Birrer, M. Millon, L.V.E. Koopmans, D.J. Lagattuta, J.P. McKean, S. Vegetti, F. Courbin, X. Ding, A. Halkola, I. Jee, A.J. Shajib, D. Sluse, A. Sonnenfeld, T. Treu",A SHARP view of H0LiCOW: H0 from three time-delay gravitational lens systems with adaptive optics imaging,"Monthly Notices of the Royal Astronomical Society 490, Issue 2. p. 1743, December 2019",doi: 10.1093/mnras/stz2547,https://doi.org/10.1093/mnras/stz2547,arXiv:1907.02533,https://arxiv.org/abs/1907.02533
1,redshift,2019-06-27,"David Camarena, Valerio Marra","D. Camarena, V. Marra",Cosmology-independent local determination of H0 in strong tension with CMB,arXiv:1906.11814 Cosmology and Nongalactic Astrophysics (astro-ph.CO) 2019,arXiv:1906.11814,https://arxiv.org/abs/1906.11814,,
4,galaxy and structure formation,2015-05-04,"Nicolas Lehner, J. Christopher Howk, Bart P. Wakker","N. Lehner, J.C. Howk, B.P. Wakker","Evidence for a Massive, Extended Circumgalactic Medium Around the Andromeda Galaxy","The Astrophysical Journal, Volume 804, Number 2, 2015",doi: 10.1088/0004-637X/804/2/79,https://doi.org/10.1088/0004-637X/804/2/79,,
4,galaxy and structure formation,2016-11-09,"Stacy S. McGaugh, Federico Lelli, James M. Schombert","S.S. McGaugh, F. Lelli, J.M. Schombert",Radial Acceleration Relation in Rotationally Supported Galaxies,"Phys. Rev. Lett. 117, 201101, 2016",doi: 10.1103/PhysRevLett.117.201101,DOI:https://doi.org/10.1103/PhysRevLett.117.201101,arXiv:1609.05917,https://arxiv.org/abs/1609.05917
